step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
71,140,99.3356483827559,7869.19429002621,7513.80802551387,-156.875364721529,7034.99662230513,5.39426633803914,5.53159616286581,-178.824963500108,40,0,0,0,0.484287334432817,0.385719461065377,0,0,1,
72,142,99.0221452917624,7869.3334739301,7513.95894349079,-156.62619542517,7020.27001421271,5.40051689667536,5.62055259050371,-178.725557668088,40,0,0,0,0.490329629591592,0.403379281651605,0,0,1,
73,144,98.7091494285138,7869.46105806722,7514.09815029337,-156.368052927009,7005.5424205561,5.40680248011126,5.7094951793818,-178.626110389969,40,0,0,0,0.496336465329807,0.421933210033372,0,0,1,
74,146,98.3966792196678,7869.57645275128,7514.22505452889,-156.100451813485,6990.81380299329,5.41314544222327,5.79842305320651,-178.526622834907,40,0,0,0,0.502293911354043,0.441453051693081,0,0,1,
75,148,98.0847540917769,7869.67902569677,7514.33902210239,-155.822876592194,6976.08435009792,5.41951203874273,5.88733597312201,-178.427095988999,40,0,0,0,0.508186721643541,0.462010899214296,0,0,1,
76,150,97.7733945367346,7869.76809831224,7514.43937248517,-155.534778178551,6961.35419201906,5.42591756337937,5.97623390446405,-178.327527035834,40,0,0,0,0.513997033848248,0.483680652170289,0,0,1,
77,152,97.4626221759208,7869.8429465781,7514.52537962777,-155.235576095755,6946.62310720409,5.4324121344013,6.06511498505961,-178.227914602615,40,0,0,0,0.519707594704606,0.506533606222557,0,0,1,
78,154,97.1524598245816,7869.90280028988,7514.59627116734,-154.924656685836,6931.89112320223,5.43894086905143,6.15398004925645,-178.128263145255,40,0,0,0,0.525301024706156,0.530641141100508,0,0,1,
79,156,96.8429315510346,7869.9468478555,7514.65123322436,-154.601381156285,6917.15860796052,5.44550586583012,6.24282803346991,-178.028568553735,40,0,0,0,0.530763645451276,0.556070029372454,0,0,1,
80,158,96.5340627343319,7869.97423452117,7514.68940866577,-154.265077992668,6902.42529275641,5.452121375747,6.33165866973356,-177.928831845854,40,0,0,0,0.53608536347115,0.582882952452162,0,0,1,
81,160,96.2258801198127,7869.9840709643,7514.70990566027,-153.915052074824,6887.69131250834,5.45877447233865,6.42047150633249,-177.829051070187,40,0,0,0,0.541265741559659,0.611130101529348,0,0,1,
82,162,95.9184118720479,7869.97543790189,7514.7118023129,-153.550579924076,6872.95655008465,5.46548208841115,6.50926568678766,-177.729226168393,40,0,0,0,0.546313540099561,0.640849210835664,0,0,1,
83,164,95.6116876269663,7869.94739333651,7514.69415388357,-153.170914274618,6858.22108345168,5.47223820845922,6.59804038554589,-177.62936049609,40,0,0,0,0.551251314447421,0.672056625626707,0,0,1,
84,166,95.3057385347011,7869.89900153973,7514.65602190516,-152.77528790313,6843.48529231114,5.47903834298523,6.68679570702274,-177.529449674557,40,0,0,0,0.556128810813602,0.704726164140553,0,0,1,
