mode,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,
4,65270.6709046402,7.64790166335925,180.129106681284,-52.105579169482,25.9744293463643,34.6077961121051,-120.605924437334,-13.0692526286584,-28.2021644173442,14.4591420173413,0,0,0,0,
4,65270.8709046401,7.63755605088174,180.057175200936,-51.5073169496922,25.9425654972233,34.6075384151436,-120.605715424404,-12.8626401075322,-28.3178226077219,14.4591420173413,0,0,0,0,
4,65271.0709046401,7.62733067496866,179.985705586305,-50.9044971023652,25.9109191119292,34.6072818949764,-120.605503879053,-12.6599897332448,-28.3710181293829,14.4591420173413,0,0,0,0,
4,65271.2909046401,7.61622125845961,179.909354854139,-50.2449282501592,25.875982208599,34.607001098941,-120.605268272381,-12.4405196112661,-28.2996300327905,14.4591420173413,0,0,0,0,
4,65271.49090464,7.60624414270092,179.840057730927,-49.6517974599166,25.8439242480567,34.6067470832474,-120.605051483838,-12.2807283204153,-28.6544564206589,14.4591420173413,0,0,0,0,
4,65271.69090464,7.59637712283339,179.777765878994,-49.1061177438476,25.8116538590643,34.606494278565,-120.604832248718,-12.1771505400326,-29.1602465542791,14.4591420173413,0,0,0,0,
4,65271.91090464,7.585635397356,179.718081719168,-48.6007267072114,25.7762508423505,34.606217616625,-120.604588324071,-12.1202711012713,-29.6394157097314,14.4591420173413,0,0,0,0,
4,65272.1109046399,7.57595545596443,179.670355322684,-48.2267741884797,25.7447336726693,34.60596741903,-120.604364142271,-12.1003416432326,-29.6634731580533,14.4591420173413,0,0,0,0,
4,65272.3109046399,7.56634094512183,179.629801129485,-47.9431244620169,25.712559812595,34.6057184764177,-120.604137739024,-12.0910567523964,-29.2250481578994,14.4591420173413,0,0,0,0,
4,65272.5109046399,7.55677713805251,179.598172061639,-47.7269421201559,25.680528881539,34.605470752212,-120.603909259246,-12.066289004314,-28.621555969421,14.4591420173413,0,0,0,0,
4,65272.7309046398,7.54630351447687,179.567141868083,-47.5166591315108,25.6453567637811,34.6051996046851,-120.603655687504,-12.0299906458235,-28.3941650132649,14.4591420173413,0,0,0,0,
4,65272.9309046398,7.5368202479789,179.541221104527,-47.3441934965656,25.6132997656218,34.6049543194715,-120.603423184307,-11.9984956556989,-28.1705000464888,14.4591420173413,0,0,0,0,
4,65273.1309046398,7.52736945770774,179.516711988803,-47.1867583360485,25.5808084663735,34.6047101798172,-120.603188837799,-11.9750000036578,-28.0146825876094,14.4591420173413,0,0,0,0,
4,65273.3509046397,7.51700821688119,179.491728049183,-47.0330993096807,25.5451816199856,34.6044429489766,-120.602928974976,-11.9437197442839,-27.6790754823866,14.4591420173413,0,0,0,0,
4,65273.5509046397,7.50761813652888,179.469619456156,-46.8883094881466,25.5137081124794,34.6042012071576,-120.602690877037,-11.9183637338473,-27.4411094654791,14.4591420173413,0,0,0,0,
4,65273.7509046397,7.49825476182252,179.448427637254,-46.75443810074,25.4814671517146,34.6039605979879,-120.602451033535,-11.9110159284617,-27.3719906839811,14.4591420173413,0,0,0,0,
4,65273.9509046396,7.48891533777956,179.428571141652,-46.6433528387008,25.4493447224498,34.6037211239493,-120.602209476727,-11.9121224842681,-27.3347894563873,14.4591420173413,0,0,0,0,
4,65274.1709046396,7.47866693691444,179.407415662853,-46.540827399774,25.4141958146774,34.6034590279499,-120.601941815053,-11.8957219506585,-26.835858101206,14.4591420173413,0,0,0,0,
