mode,time,alt,speed,mach,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,85053.8141907114,108.846337957373,7983.80884394066,25.7513067682421,-118.183728912233,7056.90899494716,69.3450946855028,-13.5234016136188,38.0146925933698,0.0167373139021881,7056.90899494716,-5.22735071934767,-13.3762729677545,54.8716344352931,0.99464863072346,
1,85057.0741907121,108.461518119955,7984.08427637252,25.8697371745022,-117.904886685515,7032.48778577779,69.4983971553382,-14.0116855991943,38.0152353098778,-0.00979876170809368,7032.48778577779,14.1802406776715,-13.4278798434854,54.9746858713897,0.990431069526257,
1,85060.2941907128,108.082326290558,7984.34695001569,25.9807606641397,-117.621297628589,7008.06961248588,69.6485483064669,-14.5007136962025,38.0169657558639,-0.00703075079362388,7008.06961248588,-3.6419851519986,-13.4798647761109,54.9363318995277,0.994355672452779,
1,85063.5341907134,107.701708263066,7984.60456197757,26.0867011750555,-117.331499965222,6983.65456187227,69.7983282810254,-14.9996285478982,38.013942954942,0.0136021454535595,6983.65456187227,-20.8891756043558,-13.5322394909179,54.7949280349244,0.987981578466922,
1,85066.7741907141,107.322043663817,7984.85250974167,26.1870586443184,-117.033674815489,6959.24272281173,69.9467702127815,-15.5055063091445,38.0136516730969,0.0219476864497306,6959.24272281173,16.8310979612334,-13.5849782575424,54.9308408019121,0.990382581912265,
1,85070.0141907147,106.943345357852,7985.09488314568,26.2820853863728,-116.733365118009,6934.83417810148,70.0938432970733,-16.0184384677736,38.0138416372699,5.21895466816744E-05,6934.83417810148,-10.2952747275112,-13.6381362700775,54.8439521418033,0.993415660832975,
1,85073.2541907154,106.565636400988,7985.32557798799,26.3720215469459,-116.422974551851,6910.4290216081,70.2395160393417,-16.5385151897872,38.0165932767619,-0.0145666815120369,6910.4290216081,17.4192826258886,-13.6917048523866,54.9739720314369,0.990344547171599,
1,85076.5541907161,106.181975858686,7985.5518716594,26.4586930672616,-116.101071204552,6883.58737928754,70.3864136734976,-17.0756589487784,38.0162060225162,0.0105594602772967,6883.58737928754,9.79459138520997,-13.7510931272363,55.0257657767855,0.992218134298665,
1,85079.7741907167,105.808656650088,7985.76295206564,26.5392417705479,-115.776327128493,6859.18965296049,70.52916113429,-17.610425706765,38.0143463888361,0.0207252556401556,6859.18965296049,-7.96854869001891,-13.805481671772,54.9615071327273,0.98896576826852,
1,85083.0141907174,105.434073349741,7985.9643084036,26.6151448113697,-115.448523716803,6834.79561300315,70.6695420749831,-18.1492298891625,38.0149569578527,-0.00131547192963916,6834.79561300315,-9.88551356806056,-13.860298491258,54.9004080591969,0.993754613427547,
1,85086.274190718,105.058273532638,7986.15509659,26.6880981734004,-115.105988542838,6810.40536388746,70.8101241389648,-18.7022632402226,38.0169217284519,-0.012016227700465,6810.40536388746,14.8198323712249,-13.9155344403355,55.0120620343453,0.989678711516896,
1,85089.4941907187,104.688194743516,7986.33242274061,26.7566529877474,-114.75979360373,6786.01900937301,70.9474230470399,-19.256034069008,38.0146560853196,0.00701315908010766,6786.01900937301,-10.1201905400012,-13.97116763301,54.9281048449195,0.993272164724545,
1,85092.7141907194,104.31924625269,7986.49700956826,26.8220633271354,-114.403849282055,6761.63665570009,71.0831385311409,-19.817358249234,38.0135372612162,0.0211070572351391,6761.63665570009,-5.92625684173254,-14.0271816085473,54.8964546955126,0.989703516271208,
1,85095.95419072,103.949172270416,7986.65194021737,26.8850681565795,-114.039007178455,6737.25841035994,71.2188908618426,-20.3934249711951,38.0141874374809,-0.00327870206940708,6737.25841035994,34.2222983611782,-14.0836728603887,55.138735008865,0.995211582322301,
1,85099.1941907207,103.580300072947,7986.79165580877,26.9456047246549,-113.662047617534,6712.88438567299,71.351312496422,-20.9701682478511,38.0169767836852,-0.00902718984937481,6712.88438567299,-15.7720414096084,-14.1406043693598,54.9975241829907,0.989535148810399,
1,85102.4541907213,103.210398423081,7986.91837692203,27.0044022814933,-113.272828125848,6686.07797344954,71.4836559807728,-21.5619851817431,38.0158176702595,0.0238067215870306,6686.07797344954,-10.4254665103645,-14.2037063512289,54.9399526648895,0.989602300907069,
1,85105.714190722,102.841785150734,7987.03063198821,27.0614591218053,-112.87335264057,6661.7131937466,71.6142274049015,-22.1618245737693,38.0143806561051,0.0123592247479789,6661.7131937466,22.2699664180118,-14.2615249369953,55.1032955842355,0.994379292469682,
