iphase,time,alt,speed,mach,hdot,lat,long,psd,x,y,rpred,herror,psha,dpsac,nzc,nztotal,phic_at,dsbc_at,eow,es,en,emep,hdref,dnzc,
1,1183196.44636803,19141.3113560816,349.831009028896,1.20962159260592,-115.691855720011,28.6228854186301,-80.5393463596571,113.018356751891,9052.03909121077,-13595.9599098336,50689.926823574,-988.396711493103,242.328624787727,4.65301846038241,-0.231375103722912,0.757299408939677,11.632546150956,0,25381.0529340283,34776.1192421325,28247.6950362541,24794.0866706807,-86.7169568953098,-0.228882190284201,
1,1183196.68636803,19113.5981782433,348.741016810541,1.20573358859393,-115.239675216237,28.6228011908437,-80.5401477504156,113.101402101811,9021.27401558266,-13523.3218947087,50611.2336563358,-981.367858018654,242.312041762839,4.58655613534972,-0.23100614597615,0.756922246532709,11.4663903383743,0,25314.5171589911,34714.1871686638,28191.822887515,24746.1192505906,-86.5777953517274,-0.22883377326259,
1,1183196.92636803,19085.9944629734,347.650924404559,1.20244033806331,-114.780427320862,28.6227182219146,-80.5409468614087,113.18321480377,8990.44266713585,-13450.9834787219,50532.7804801832,-974.414556189486,242.295840266838,4.52094492939204,-0.23075133428583,0.756876071572778,11.3023623234801,0,25248.2084457522,34652.4439698595,28136.1211324467,24698.2981170669,-86.4380943436956,-0.228931927375436,
1,1183197.16636803,19058.5014402671,346.560999398603,1.19854562295005,-114.317322657815,28.6226364982676,-80.5417436906487,113.26456728743,8959.65614214584,-13378.8707807187,50454.5528356023,-967.54157326395,242.279705186039,4.45572752653108,-0.230515879568928,0.756391748777836,11.1393188163277,0,25182.1375141114,34590.8782659808,28080.5795047942,24650.6144563126,-86.2976598505288,-0.229129554422579,
1,1183197.40636803,19031.1201544115,345.471917826407,1.19524856158914,-113.850599316507,28.622555999953,-80.5425382389445,113.345005972684,8928.80490931942,-13307.0569372482,50376.5644589439,-960.746065345974,242.263953515791,4.39104051152451,-0.230381680207896,0.756310553679214,10.9776012788113,0,25116.3291680946,34529.500867632,28025.2077573668,24603.0766413204,-86.1566422248526,-0.22942346967789,
1,1183197.64636803,19003.8510951689,344.384105403847,1.19135425013231,-113.383376514416,28.6224767133469,-80.5433305093163,113.42449213499,8898.003153479,-13235.4656863859,50298.8010782907,-954.032023212072,242.24825876566,4.3272490993499,-0.230292611467994,0.75566071204382,10.8181227483747,0,25050.7985665106,34468.3005427143,27969.995757103,24555.6759726433,-86.014900165792,-0.22976818691832,
1,1183197.88636803,18976.6940927925,343.29780087806,1.18806028383346,-112.91739981904,28.6223986168541,-80.5441204958587,113.502977692032,8867.13856939052,-13164.1724890492,50221.2767296436,-947.395301886988,242.232948437255,4.26407387071242,-0.230273071266311,0.755412025391406,10.6601846767811,0,24985.5534750105,34407.2883376586,27914.9534695636,24508.4210059254,-85.8723232077198,-0.230133550281509,
1,1183198.12636803,18949.6488379231,342.213031453311,1.18417080884408,-112.451891408522,28.6223216942862,-80.544908203626,113.580624380247,8836.32859954214,-13093.098995252,50143.9767209107,-940.839217085275,242.217684472227,4.20169114752667,-0.230311074135098,0.754736773373132,10.5042278688167,0,24920.5940324571,34346.4526896857,27860.0704633632,24461.3027856023,-85.7290186134914,-0.230534829825054,
1,1183198.36636803,18922.715408124,341.129746699621,1.18088141412464,-111.9843002675,28.6222459279151,-80.5456936291501,113.656984636958,8805.45796431677,-13022.3227897718,50066.915852319,-934.3596604476,242.20280520527,4.14021015777159,-0.23039693160356,0.754391343623668,10.350525394429,0,24855.9180527565,34285.805246678,27805.3572466631,24414.3303331522,-85.5851904334184,-0.231009971261323,
1,1183198.60636803,18895.894359638,340.047953586911,1.17699701369785,-111.515137434084,28.6221713023366,-80.5464767787208,113.732777886876,8774.6461626112,-12951.7627599137,49990.0775924179,-927.961314964899,242.187962767965,4.07925934515944,-0.23056496548543,0.753658875441892,10.1981483628986,0,24791.5258418251,34225.3329982679,27750.8020821333,24367.4935718295,-85.4408241053603,-0.231554325983024,
