mode,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
5,86746.0430988358,3.07087433594931,171.701753101372,-58.9546268648315,12.2201074103563,34.6458120989297,-120.507293167407,-18.5757769181019,-41.7612163704762,14.6273522514832,0,0,0,1.87321464949935,0,
5,86746.2230988359,3.06022185721435,171.444807207154,-59.2914678244575,12.1916167535798,34.6460470994295,-120.507430112364,-18.7067100865815,-40.6453200123444,14.6273522514832,0,0,0,1.87321464949935,0,
5,86746.4030988359,3.04950897136889,171.19474288803,-59.6338020075343,12.163126272437,34.6462808133512,-120.507568504145,-18.8272283905147,-39.1431346878618,14.6273522514832,0,0,0,1.87321464949935,0,
5,86746.5830988359,3.03873472284246,170.952695251997,-59.9778853301318,12.1347580094058,34.6465132804524,-120.507708239805,-18.9410917755241,-37.5404411619573,14.6273522514832,0,0,0,1.87321464949935,0,
5,86746.763098836,3.02789899959974,170.717204495165,-60.3201865780881,12.1065653367871,34.6467445472072,-120.507849215201,-19.0512437096118,-35.8896086817226,14.6273522514832,0,0,0,1.87321464949935,0,
5,86746.943098836,3.01700207945053,170.488769619173,-60.6604908176828,12.0781972013811,34.6469746609816,-120.50799132192,-19.1585375272799,-34.1734246347261,14.6273522514832,0,0,0,1.87321464949935,0,
5,86747.123098836,3.00604466129281,170.267724150963,-61.0085548279142,12.0501802240569,34.6472036711347,-120.508134441942,-19.2427654119811,-32.5491001427827,14.6273522514832,0,0,0,1.87321464949935,0,
5,86747.3030988361,2.99503154776245,170.052784923696,-61.342785216179,12.0219340552928,34.6474316258062,-120.508278476349,-19.266103862386,-31.0493307971916,14.6273522514832,0,0,0,1.87321464949935,0,
5,86747.4830988361,2.98397730274685,169.841156180368,-61.5327782832487,11.9938633992862,34.6476585711413,-120.508423387577,-19.1572090445052,-29.6422156704444,14.6273522514832,0,0,0,1.87321464949935,0,
5,86747.6630988362,2.97291517775413,169.627179385744,-61.4893494842882,11.9652804050788,34.6478845631875,-120.508569398078,-18.9809749642302,-28.3316804481529,14.6273522514832,0,0,0,1.87321464949935,0,
5,86747.8430988362,2.96188145898376,169.407951079854,-61.2465155857767,11.9369826824381,34.6481096540146,-120.50871672127,-18.7782670295516,-27.1050691870323,14.6273522514832,0,0,0,1.87321464949935,0,
