step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
46,90,115.725247633906,7171.80102685176,6890.13543428974,-139.205073428556,4463.54453792244,-4.97928601469913,10.9868483185359,-21.9834219529469,40,0,0,0,0.253462990183805,0.0369009858550212,0,0,1,
47,92,115.443752157604,7172.15001575785,6890.48772264288,-142.290307103633,4450.06723821018,-4.9923055027059,11.0855043133878,-21.9108221556973,40,0,0,0,0.255622955746296,0.0381524599826208,0,0,1,
48,94,115.156086886633,7172.50638272433,6890.84760544822,-145.374862341855,4436.58903125314,-5.00542616807784,11.184144960761,-21.838159969787,40,0,0,0,0.257901609830615,0.0394857986814197,0,0,1,
49,96,114.862253211732,7172.87007546794,6891.21503049402,-148.458705252604,4423.11015978322,-5.01865125836751,11.2827746109232,-21.7654372943867,40,0,0,0,0.260302532414564,0.0409064043954347,0,0,1,
50,98,114.562252592784,7173.24103816257,6891.58994200965,-151.541799892594,4409.63032702659,-5.03197724940951,11.3813891130137,-21.692650382514,40,0,0,0,0.262830783818404,0.0424208362883648,0,0,1,
51,100,114.256086563552,7173.61921017499,6891.97227943208,-154.624108501935,4396.14973432687,-5.04541084160969,11.4799907000467,-21.6198000168563,40,0,0,0,0.265492786045999,0.0440377578612827,0,0,1,
52,102,113.943756737024,7174.00452515913,6892.36197645503,-157.705589593668,4382.66822528904,-5.05894909550895,11.5785798822524,-21.546886267044,40,0,0,0,0.268295559435428,0.045766442179362,0,0,1,
53,104,113.625264812542,7174.39691101199,6892.75896100902,-160.786198527672,4369.18576836724,-5.07259249201838,11.6771550927615,-21.4739069863346,40,0,0,0,0.271245674523184,0.0476169200914903,0,0,1,
54,106,113.30061258285,7174.79628909675,6893.16315445337,-163.865886026522,4355.70240736301,-5.0863454673364,11.7757159570329,-21.400861360383,40,0,0,0,0.274330008016206,0.0495997994434131,0,0,1,
55,108,112.969801942326,7175.20257402998,6893.57447140506,-166.944599716736,4342.21814635218,-5.10020883825637,11.8742648897873,-21.3277514481618,40,0,0,0,0.277573799640533,0.0517269443074958,0,0,1,
