step,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
33,160,104.808257693952,7951.37756093685,-108.65740310503,8349.35596615852,60.6912194427775,4.96381262858426,30,-60,0,0,-13.1395916385627,0,0.435172377683596,
34,165,104.264937541544,7951.65925208707,-108.669309244681,8311.39157591021,60.9955401181139,4.60176911402317,30,-60,0,0,-13.1791661253879,0,0.449576680018545,
35,170,103.721578284477,7951.92162397458,-108.67292435287,8273.43241910372,61.2990220030983,4.23308237268247,30,-60,0,0,-13.2193017150468,0,0.464475363312191,
36,175,103.178222791251,7952.16325573469,-108.667663164427,8235.47835875134,61.6016322352263,3.85755357325507,30,-60,0,0,-13.2600081842485,0,0.479915990408833,
37,180,102.634917102649,7952.38255220094,-108.652840825467,8197.52976306554,61.9033360270999,3.47498085390822,30,-60,0,0,-13.3012593100119,0,0.495922475211628,
38,185,102.09171091577,7952.57774024916,-108.627679735369,8159.58719262629,62.2041056902436,3.08515542945992,30,-60,0,0,-13.3430653960654,0,0.512491345737915,
39,190,101.548658074887,7952.74686456053,-108.591298738149,8121.65055398524,62.5039045566665,2.68785822206115,30,-60,0,0,-13.3854204624319,0,0.529594846398401,
40,195,101.005817089457,7952.88778111756,-108.542709721915,8083.72024197048,62.8027018195699,2.28287061982132,30,-60,0,0,-13.4283168095158,0,0.547177502928161,
41,200,100.463251672116,7952.99813708117,-108.480820589466,8045.79638380463,63.1004541987424,1.86995659715541,30,-60,0,0,-13.4717611908527,0,0.565157418093883,
42,205,99.9210312755518,7953.07534592206,-108.404427209958,8007.87959681677,63.3971265957281,1.44887680278828,30,-60,0,0,-13.5157280499158,0,0.583423650401339,
43,210,99.3792316351505,7953.11660641108,-108.312228583245,7969.96992231619,63.6926819932308,1.01938854140974,30,-60,0,0,-13.560214649401,0,0.60178953858859,
44,215,98.8379351677215,7953.11886759279,-108.202831119426,7932.06760949435,63.9870725506189,0.581230998914862,30,-60,0,0,-13.6052116951992,0,0.620152264248852,
45,220,98.2972317533856,7953.07858854798,-108.07463254638,7894.17324069634,64.2802581247354,0.134145354921088,30,-60,0,0,-13.6506860771543,0,0.638417597446994,
46,225,97.7572198199509,7952.99168031109,-107.925819413731,7856.28707412564,64.572193202951,-0.32214545620559,30,-60,0,0,-13.6966288652297,0,0.656450721000904,
47,230,97.2180074174516,7952.85351267368,-107.754356609358,7818.40929424695,64.8628264408191,-0.787922822890835,30,-60,0,0,-13.7430221530147,0,0.674103573699332,
48,235,96.6797132437881,7952.65893413498,-107.558022535723,7780.54054146948,65.1521101972228,-1.2634750908062,30,-60,0,0,-13.7898442382722,0,0.691256710159246,
49,240,96.1424675908834,7952.40236718633,-107.334404371438,7742.68111869347,65.4399913432011,-1.74910421588964,30,-60,0,0,-13.8370685017936,0,0.707876643533854,
50,245,95.6064132288499,7952.07800029118,-107.080929492914,7704.83142536334,65.7264181370769,-2.24511754538332,30,-60,0,0,-13.8846666017377,0,0.724104286416001,
51,250,95.0717061584825,7951.68018700188,-106.794876495397,7666.99175615748,66.0113309059986,-2.75183588395731,30,-60,0,0,-13.9326073264069,0,0.74037925595847,
52,255,94.538516323599,7951.20350166805,-106.473398873276,7629.16267304598,66.2946678302254,-3.26958797731601,30,-60,0,0,-13.9808556862661,0,0.756799905639405,
53,260,94.0070282150786,7950.64237130592,-106.113487380524,7591.34478056004,66.576366467007,-3.79871067627221,30,-60,0,0,-14.0293841194009,0,0.773381652582058,
54,265,93.4774421787607,7949.99074596557,-105.711789231911,7553.53861189736,66.8563657842004,-4.33955323849437,30,-60,0,0,-14.0781186159144,0,0.790173324684575,
55,270,92.9499762562066,7949.24206491812,-105.264591384462,7515.74434342189,67.1345900780176,-4.89247457773263,30,-60,0,0,-14.1270567423009,0,0.807028165595704,
56,275,92.4248678051857,7948.38908063706,-104.767884690024,7477.96296820752,67.4109734788024,-5.45784114674257,30,-60,0,0,-14.1761420204231,0,0.823934588700622,
57,280,91.9023749623476,7947.42439993943,-104.217369766979,7440.19470696143,67.685436461213,-6.03603176258935,30,-60,0,0,-14.2252906653583,0,0.84106260789153,
58,285,91.3827780178832,7946.34054161721,-103.608499652109,7402.4404001719,67.9579029622077,-6.62743373984961,30,-60,0,0,-14.2744596720462,0,0.858387456902109,
59,290,90.8663804506566,7945.12990141036,-102.936550896739,7364.70049379418,68.2282872540112,-7.23244389206695,30,-60,0,0,-14.3235699134157,0,0.875874812075956,
60,295,90.3535098224115,7943.78468436324,-102.196579711044,7326.97584115074,68.4965094164707,-7.85146696658245,30,-60,0,0,-14.372575605596,0,0.893513572823243,
61,300,89.84451924197,7942.29675868874,-101.383348720452,7289.26675410481,68.7624709671813,-8.48491879224838,30,-60,0,0,-14.4214249445537,0,0.911264429843876,
62,305,89.3397882148949,7940.65800650807,-100.491538404264,7251.57439692877,69.0260826982017,-9.1332208528209,30,-60,0,0,-14.4700173065379,0,0.929067906133875,
63,310,88.8397233466841,7938.85997965083,-99.5155527890138,7213.89921210437,69.2872472127864,-9.79680317903421,30,-60,0,0,-14.5182602008562,0,0.946933017068122,
64,315,88.3447604598068,7936.89357956668,-98.4493033272895,7176.24188137985,69.5458576206334,-10.4761020061993,30,-60,0,0,-14.5661360624952,0,0.964846633601866,
65,320,87.8553669256121,7934.74914459806,-97.2862846418993,7138.603423892,69.801813030109,-11.1715599704872,30,-60,0,0,-14.6134529151127,0,0.982760858611841,
66,325,87.3720433927095,7932.41658670968,-96.0197150770471,7100.98425104168,70.0549939629102,-11.8836237826851,30,-60,0,0,-14.6601769083858,0,1.0005974284564,
67,330,86.8953248474225,7929.8854968835,-94.6426659826209,7063.38561088802,70.3052883766812,-12.6127434552509,30,-60,0,0,-14.7061813829409,0,1.01825370859411,
68,335,86.4257808260322,7927.14540010816,-93.148275693751,7025.80808243193,70.5525699612597,-13.3593705149025,30,-60,0,0,-14.7513626656677,0,1.03560170345043,
69,340,85.9640153979957,7924.18519634224,-91.5296226718451,6988.2527902229,70.7967190643732,-14.1239571075022,30,-60,0,0,-14.7956309244269,0,1.05249767575555,
70,345,85.5106660072552,7920.99421950662,-89.7803062539588,6950.72024242788,71.0375980029209,-14.90695276278,30,-60,0,0,-14.838859524012,0,1.06878544093117,
71,350,85.0664011779763,7917.56165865678,-87.8943293420862,6913.21167110296,71.275069117773,-15.7088016366065,30,-60,0,0,-14.880940087912,0,1.08430491785672,
72,355,84.6319179020422,7913.8768265057,-85.8663415050885,6875.7280841949,71.5089931177087,-16.5299433801912,30,-60,0,0,-14.9218183327953,0,1.09889336600098,
73,360,84.2079378943304,7909.92917628102,-83.6917380725899,6838.27026556754,71.7392191104434,-17.370803887106,30,-60,0,0,-14.9613700549382,0,1.11242658982326,
74,365,83.7952048320062,7905.70775947659,-81.3663125776739,6800.83945767276,71.9655944758634,-18.231798296202,30,-60,0,0,-14.9994931462588,0,1.12481069111226,
75,370,83.3944822771512,7901.20132503554,-78.8863725062238,6763.43668294657,72.1879636976119,-19.1133259042216,30,-60,0,0,-15.0360783713167,0,1.13595039580939,
76,375,83.0065504052183,7896.39855326273,-76.2490210593476,6726.06287281637,72.4061607243568,-20.0157611351641,30,-60,0,0,-15.0710975047043,0,1.14576833996929,
77,380,82.632201294018,7891.28859260923,-73.4524484294639,6688.7193620217,72.6200188414397,-20.9394567718327,30,-60,0,0,-15.1044590461399,0,1.15421074453291,
78,385,82.2722328413762,7885.86149652618,-70.4961820991427,6651.40723050541,72.8293658138439,-21.8847361105776,30,-60,0,0,-15.1360956912131,0,1.16125958183881,
79,390,81.927441458689,7880.11008621096,-67.3813403481854,6614.12763095938,73.0340237710083,-22.8518839730003,30,-60,0,0,-15.1659524253575,0,1.16741388551269,
80,395,81.5986135993702,7874.03255284305,-64.1108079603016,6576.88192140175,73.2338117668134,-23.841149805105,30,-60,0,0,-15.1940143935736,0,1.17323956571679,
81,400,81.2865166870728,7867.63003997384,-60.689339302171,6539.67132200619,73.4285457208913,-24.8527375064571,30,-60,0,0,-15.2202593794335,0,1.17872885580198,
82,405,80.9918893122785,7860.90646345,-57.1237340905141,6502.49708502236,73.6180382829621,-25.8868016830425,30,-60,0,0,-15.2447159789378,0,1.18387595579502,
83,410,80.7154314410696,7853.86804558439,-53.422653027684,6465.36045796759,73.8021010685797,-26.9434391278732,30,-60,0,0,-15.2673878942487,0,1.18867406751549,
84,415,80.4577941053426,7846.5242727505,-49.5970151370195,6428.26271675804,73.9805429709672,-28.0226891266268,30,-60,0,0,-15.288377176947,0,1.19311827827499,
85,420,80.2195687710997,7838.88729416205,-45.6597160729571,6391.20505121373,74.1531735614023,-29.1245252171874,30,-60,0,0,-15.3077610834874,0,1.19720118161292,
86,425,80.0012774838964,7830.97204452991,-41.6256194869775,6354.18856517034,74.3198006756835,-30.2488435226334,30,-60,0,0,-15.3256428646341,0,1.20092372971993,
87,430,79.8033634086512,7822.79607437142,-37.511390562601,6317.21453564812,74.480233698489,-31.3954685215852,30,-60,0,0,-15.3421694698554,0,1.20428221628085,
88,435,79.6261820867118,7814.37942352405,-33.3353601036283,6280.28401171828,74.6342858023935,-32.564140998547,30,-60,0,0,-15.3574989289184,0,1.20689425010702,
89,440,79.4699940789398,7805.74355658002,-29.1171480629653,6243.39800415066,74.7817710092995,-33.7545185228017,30,-60,0,0,-15.3718142559637,0,1.20895477788223,
90,445,79.3349586126115,7796.91066430824,-24.8776414696647,6206.55741036655,74.9225065048804,-34.9661565084597,30,-60,0,0,-15.3853169265452,0,1.21072715474941,
91,450,79.2211284378935,7787.90541445197,-20.6385002893717,6169.7634035186,75.0563165944884,-36.1985308060238,30,-60,0,0,-15.3982257752664,0,1.21221083897016,
92,455,79.1284463047637,7778.75520480982,-16.4220133089768,6133.01664014404,75.1830281998945,-37.4510096027557,30,-60,0,0,-15.410775590891,0,1.21341156214902,
93,460,79.0567427142886,7769.48838922194,-12.2507369080122,6096.31806032728,75.302480124565,-38.7228720916265,30,-60,0,0,-15.4232099007598,0,1.21433347813084,
94,465,79.0057353714854,7760.13390089871,-8.14717734734108,6059.66822362359,75.4145151094817,-40.0132925065999,30,-60,0,0,-15.4357844631436,0,1.21498177751733,
95,470,78.9750302808341,7750.72081675928,-4.13345576219672,6023.06782206469,75.5189839217682,-41.32134609714,30,-60,0,0,-15.4487561264248,0,1.21536385222749,
96,475,78.9641249694079,7741.27760611746,-0.230789872601463,5986.51746886688,75.6157517655738,-42.6460217087567,30,-60,0,0,-15.4623800644907,0,1.21548501481489,
97,480,78.9724117173087,7731.83305138785,3.5399926382172,5950.01739846818,75.7046875188488,-43.9861953407934,30,-60,0,0,-15.4769167875546,0,1.21535587942472,
98,485,78.999183261469,7722.41392597475,7.15994033862808,5913.56826531695,75.7856814696216,-45.3406723585504,30,-60,0,0,-15.4926094913241,0,1.21498422268633,
99,490,79.043640739887,7713.04593136827,10.611407204218,5877.17013850998,75.8586265364823,-46.7081561746101,30,-60,0,0,-15.5097019339481,0,1.21438154726349,
100,495,79.1049011775507,7703.7531300459,13.878423324777,5840.82341523699,75.9234347434433,-48.0872848828161,30,-60,0,0,-15.5284175443647,0,1.21355656889246,
101,500,79.1820062697902,7694.55768228087,16.9468486395865,5804.52808701497,75.9800277679821,-49.4766150005304,30,-60,0,0,-15.5489702664951,0,1.21252400074388,
102,505,79.273931731889,7685.47970759163,19.8044478181755,5768.2842998224,76.0283459110435,-50.8746452995048,30,-60,0,0,-15.5715543268723,0,1.21129666407974,
103,510,79.3795975529403,7676.53669767985,22.4411720422247,5732.09205596039,76.068340053999,-52.2798176520396,30,-60,0,0,-15.5963481181146,0,1.20988600549929,
104,515,79.4978769072453,7667.74509475318,24.84834777118,5695.95132168967,76.0999774781955,-53.6905378184566,30,-60,0,0,-15.6235139365602,0,1.2083047614273,
105,520,79.6276058874251,7659.11790313126,27.0198084545721,5659.86184075979,76.1232396440671,-55.1051662326632,30,-60,0,0,-15.6531901928263,0,1.20656841432262,
106,525,79.7675939835133,7650.66626301809,28.9510706645852,5623.82362195215,76.1381243882359,-56.522036819085,30,-60,0,0,-15.6854964748036,0,1.20468458684709,
107,530,79.9166326680621,7642.39904149368,30.6393969342047,5587.83679671803,76.1446423442624,-57.9395080138166,30,-60,0,0,-15.720537990606,0,1.20268791265237,
108,535,80.0735038756868,7634.32083008963,32.0836777649436,5551.90052144733,76.1428224503123,-59.3559034412673,30,-60,0,0,-15.7584020924701,0,1.20057272449321,
109,540,80.2369878037693,7626.43600117705,33.2843249123891,5516.01498599573,76.1327030866444,-60.7695738493264,30,-60,0,0,-15.7991507340413,0,1.19801729490934,
110,545,80.4058703325959,7618.74760072203,34.2431798926593,5480.17984051683,76.1143397891873,-62.1788939841792,30,-60,0,0,-15.8428435603583,0,1.19520824418548,
111,550,80.5789498351477,7611.25693958352,34.9633727730877,5444.39484355821,76.0878048111457,-63.5822747991871,30,-60,0,0,-15.8895252002496,0,1.19231432748446,
112,555,80.755043175593,7603.96379397815,35.4491506271775,5408.65987795495,76.0531747370219,-64.9781748753262,30,-60,0,0,-15.9392174580773,0,1.18935409537511,
113,560,80.9329909776831,7596.86652698511,35.7057444549189,5372.97441808779,76.0105485182782,-66.3651021931553,30,-60,0,0,-15.9919283614995,0,1.18634420325061,
114,565,81.1116621431103,7589.96229182112,35.7392138053078,5337.33853067421,75.9600289036681,-67.7416296854429,30,-60,0,0,-16.0476478816379,0,1.18331693645318,
115,570,81.2899576852387,7583.24708600819,35.5563268337464,5301.75191134323,75.9017329715794,-69.1064134322512,30,-60,0,0,-16.1063936677394,0,1.1802777130651,
116,575,81.4668138648681,7576.71604483419,35.1643908223288,5266.21415311265,75.8357869696611,-70.4581719109341,30,-60,0,0,-16.1681211358462,0,1.17725045686764,
117,580,81.6412046742197,7570.36346809197,34.5711740716056,5230.72520080862,75.7623260011053,-71.7957121896021,30,-60,0,0,-16.2328253941419,0,1.17425250492704,
118,585,81.8121437808555,7564.18299594807,33.7847666304027,5195.28487639114,75.6814951123999,-73.1179244396214,30,-60,0,0,-16.3004803179797,0,1.17130224669098,
119,590,81.9786859416133,7558.16772600106,32.8134951786595,5159.89322932203,75.5934409619867,-74.4238011426621,30,-60,0,0,-16.3710481791756,0,1.16841639226825,
120,595,82.1399279265106,7552.31030121121,31.6658315401786,5124.54971731334,75.4983225981834,-75.7124198304272,30,-60,0,0,-16.4444874049649,0,1.16552466645896,
