v1,d1,v2,d2,v3,d3,v4,d4,v5,d5
6294.49,23.7668,1241.71883,22.58774,1032.00589,22.25087,4721.64295,24.18789,1313.80766,15.00811
6320.70412,23.26149,1208.95119,22.50352,999.23824,22.16665,4754.41059,23.85101,1281.04001,14.92389
6353.47177,22.75618,1176.18354,22.50352,966.4706,22.16665,4787.17824,23.59836,1248.27236,14.92389
6379.68588,22.25087,1143.41589,22.41931,933.70295,22.16665,4819.94589,23.34571,1215.50471,14.83967
6412.45353,21.74556,1110.64824,22.41931,900.9353,22.08243,4852.71353,23.09305,1182.73707,14.75545
6451.77471,21.24025,1077.8806,22.25087,868.16766,22.08243,4885.48118,22.8404,1149.96942,14.75545
6484.54235,20.73494,1045.11295,22.25087,835.40001,21.99821,4918.24883,22.58774,1117.20177,14.67124
6517.31,20.22963,1012.3453,22.16665,802.63236,21.99821,4951.01647,22.25087,1084.43413,14.67124
6556.63118,19.72432,979.57766,22.16665,4964.12353,28.73567,4983.78412,21.99821,1051.66648,14.67124
6595.95235,19.21902,946.81001,22.16665,4996.89118,28.31458,5016.55177,21.74556,1018.89883,14.67124
6635.27353,18.71371,914.04236,22.08243,5023.1053,27.89349,5049.31942,21.40869,986.13119,14.67124
6674.59471,18.2084,881.27472,22.08243,5055.87294,27.47239,5082.08706,21.15603,953.36354,14.75545
6713.91588,17.78731,848.50707,22.08243,5082.08706,27.0513,5114.85471,20.90338,920.59589,14.83967
6753.23706,17.282,815.73942,21.99821,5114.85471,26.63021,5147.62236,20.56651,887.82824,15.00811
6792.55824,17.282,782.97177,21.99821,5147.62236,26.20912,5180.39,20.48229,855.0606,15.17654
2401.69354,45.91617,5239.37177,32.94657,5180.39,26.04069,5180.39,20.90338,822.29295,15.4292
2362.37236,45.66352,5272.13941,32.94657,5180.39,26.46178,5180.39,20.31385,789.5253,15.76607
2323.05118,45.41086,5304.90706,32.94657,1890.51824,24.44054,5213.15765,19.97698,763.31119,15.51342
2283.73001,45.15821,5337.67471,32.94657,5180.39,25.78803,5245.9253,19.72432,4282.55648,19.47167
2244.40883,44.82133,5370.44236,32.94657,5206.60412,25.36694,5278.69294,19.38745,4597.12589,18.03996
2205.08765,44.56868,5403.21,32.94657,5239.37177,24.94585,5311.46059,19.1348,5049.31942,15.85029
2165.76648,44.14759,5435.97765,32.94657,5272.13941,24.52476,5344.22824,18.79793,5042.76589,15.4292
2126.4453,43.64228,5468.7453,32.94657,5304.90706,24.10367,5376.99589,18.46105,5042.76589,15.00811
2087.12413,43.22119,5501.51294,32.94657,5337.67471,23.68258,5409.76353,18.2084,5200.05059,15.17654
2047.80295,42.8001,5527.72706,32.69392,5363.88883,23.26149,5442.53118,17.87153,5232.81824,15.00811
2008.48177,42.37901,5540.83412,32.27283,5396.65647,22.8404,5475.29883,17.53465,5265.58589,14.83967
1969.1606,42.04214,5553.94118,31.85174,5429.42412,22.41931,5508.06647,17.19778,5298.35353,14.58702
1929.83942,41.70526,5567.04824,31.43065,5462.19177,21.99821,5540.83412,16.94513,5331.12118,14.41858
1890.51824,41.36839,5586.70883,31.00956,5494.95941,21.66134,5573.60177,16.60825,5363.88883,14.16593
1851.19707,41.11574,5599.81589,30.58847,5527.72706,21.24025,5606.36941,16.27138,5396.65647,13.99749
1811.87589,40.9473,5612.92294,30.16738,5560.49471,20.81916,5639.13706,16.01873,5429.42412,13.74484
1772.55471,40.77886,5632.58353,29.74628,5593.26236,20.39807,5671.90471,15.68185,5462.19177,13.5764
1733.23354,40.61043,5645.69059,29.32519,5626.03,20.0612,5704.67236,15.34498,5494.95941,13.32375
1693.91236,40.44199,5665.35118,28.9041,5658.79765,19.64011,5737.44,15.00811,5527.72706,13.15531
1654.59118,40.27355,5685.01177,28.48301,5691.5653,19.30323,5770.20765,14.67124,5560.49471,12.90265
6071.67,27.0513,5704.67236,28.06192,5724.33294,18.88214,5802.9753,14.41858,5593.26236,12.73422
6799.11177,16.77669,5724.33294,27.64083,5757.10059,18.54527,5835.74294,14.08171,5626.03,12.48156
6838.43294,16.3556,5737.44,27.21974,5789.86824,18.12418,5868.51059,13.82905,5658.79765,12.31313
6877.75412,16.01873,5757.10059,26.79865,5822.63588,17.78731,5901.27824,13.5764,5691.5653,12.06047
6917.07529,15.59764,5783.31471,26.37756,5855.40353,17.45043,5934.04588,13.23953,5724.33294,11.89204
6956.39647,15.17654,5802.9753,25.95647,5888.17118,17.11356,5966.81353,12.98687,5757.10059,11.63938
6995.71765,15.26076,5822.63588,25.53538,5920.93883,16.69247,5999.58118,12.65,5789.86824,11.47095
1897.07177,40.86308,5842.29647,25.11429,5953.70647,16.3556,6032.34883,12.39735,5822.63588,11.21829
1615.27001,40.10512,5868.51059,24.6932,5986.47412,16.01873,6065.11647,12.06047,5855.40353,10.96564
1575.94883,39.85246,5894.72471,24.2721,6019.24177,15.68185,6097.88412,11.80782,5888.17118,10.7972
1536.62766,39.68403,5901.27824,24.10367,6052.00941,15.34498,6130.65177,11.47095,5920.93883,10.54455
1497.30648,39.43137,5927.49236,23.68258,6084.77706,15.00811,6163.41941,11.21829,5953.70647,10.37611
1457.9853,39.17872,5953.70647,23.26149,6117.54471,14.67124,6196.18706,10.96564,5986.47412,10.12346
1418.66413,39.01028,5973.36706,22.8404,6150.31235,14.41858,6228.95471,10.71298,6019.24177,9.8708
7002.27118,14.75545,5999.58118,22.41931,6183.08,14.08171,6261.72235,10.46033,6052.00941,9.70236
7041.59235,14.41858,6025.7953,21.99821,6215.84765,13.74484,6294.49,10.20767,6084.77706,9.44971
7080.91353,14.08171,6058.56294,21.57712,6248.6153,13.49218,6327.25765,9.95502,6117.54471,9.19706
7120.23471,13.82905,6078.22353,21.15603,6281.38294,13.15531,6360.0253,9.70236,6150.31235,8.9444
7159.55588,13.49218,6104.43765,20.73494,6314.15059,12.90265,6392.79294,9.36549,6183.08,8.77596
7198.87706,13.23953,6137.2053,20.31385,6346.91824,12.56578,6425.56059,9.11284,6215.84765,8.52331
7218.53765,13.74484,6169.97294,19.89276,6379.68588,12.31313,6458.32824,8.9444,6248.6153,8.27066
1379.34295,38.50497,6202.74059,19.47167,6412.45353,11.97625,6491.09588,8.69175,6281.38294,8.018
1340.02177,38.08388,6235.50824,19.05058,6445.22118,11.7236,6523.86353,8.43909,6314.15059,7.76535
1300.7006,37.66279,6261.72235,18.62949,6477.98882,11.47095,6556.63118,8.18644,6346.91824,7.51269
1261.37942,37.2417,6294.49,18.2084,6510.75647,11.21829,6589.39882,8.018,6379.68588,7.34426
7238.19824,12.98687,6327.25765,17.78731,6543.52412,10.96564,6622.16647,7.76535,6412.45353,7.0916
7277.51941,12.65,6360.0253,17.45043,6576.29177,10.62876,6654.93412,7.51269,6445.22118,6.83895
7316.84059,12.31313,6392.79294,17.02934,6609.05941,10.37611,6687.70177,7.34426,6477.98882,6.58629
7356.16176,12.06047,6425.56059,16.69247,6641.82706,10.20767,6720.46941,7.17582,6510.75647,6.33364
7395.48294,11.80782,6458.32824,16.27138,6674.59471,9.95502,6753.23706,6.92317,6543.52412,6.08098
7421.69706,12.31313,6491.09588,15.93451,6707.36235,9.70236,6786.00471,6.75473,6576.29177,5.91255
1222.05824,36.73639,6523.86353,15.51342,6740.13,9.44971,6818.77235,6.58629,6609.05941,5.65989
1182.73707,36.23108,6556.63118,15.17654,6772.89765,9.19706,6851.54,6.33364,6641.82706,5.40724
