mode,time,alt,speed,eow,mach,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,1036464.60276663,100.483491227577,7276.10746335679,2799661.01302739,25.3427887973954,-152.242158456215,6266.85257206724,11.1098389236219,-119.900680876193,38.0166367030673,-0.0181996000413079,4396.69539489403,52.3736178092458,-11.2954480705313,56.5236237682314,0.927591452296666,
1,1036468.30276663,99.912033050308,7276.5276448671,2799401.32024396,25.4630648953071,-156.653023661017,6239.89397799622,10.8719188538463,-119.886688947683,38.0177804031599,-0.00753991687540765,4369.736800823,-79.1620797864471,-11.3582094155126,55.9414211013552,0.911059642998431,
1,1036472.02276663,99.3210737392567,7276.93954720249,2799116.00083667,25.5823109060667,-161.063389059837,6215.18411212502,10.6326787578162,-119.87266414471,38.0169062139974,0.0215636201048433,4345.02693495181,18.2118591597537,-11.4163655050653,56.1292196263585,0.910741996454164,
1,1036475.76276664,98.7104593050918,7277.33536050867,2798799.10422002,25.697408264306,-165.464842092806,6188.2303635599,10.392118102921,-119.858605894006,38.0139614195959,-0.00624977376518032,4318.07318638669,35.8474300920298,-11.4805058285249,56.358375141152,0.909727331301019,
1,1036479.46276664,98.0902367310468,7277.70620408782,2798454.08488604,25.8052669455926,-169.785833759532,6161.27930236082,10.1540965488501,-119.844738218417,38.0162390762001,-0.00604750285916972,4291.12212518761,-81.829815273567,-11.5454325294301,55.770409508915,0.912237339672456,
1,1036483.18276665,97.4506259498876,7278.04906379392,2798068.9229724,25.9062840371939,-174.087578515474,6136.57665423494,9.91475494032779,-119.830834806584,38.015288964873,0.000630301800255939,4266.41947706172,18.8519344245788,-11.6056592999774,55.9638522986575,0.911636024322785,
1,1036486.94276665,96.7879555689385,7278.36038350865,2797637.30484867,26.0015381423149,-178.389460587033,6109.63118201716,9.67280619587541,-119.816820647386,38.0159858390503,0.0110684640027269,4239.47400484394,35.7016660125682,-11.6721108286515,56.191506229498,0.911102783330833,
1,1036490.70276665,96.1092212926736,7278.62353288225,2797153.87993896,26.0900906321746,-182.632603103065,6082.6889119262,9.43082462539906,-119.802844230554,38.0175956704769,-0.0211042167244607,4212.53173475298,57.0237198479654,-11.7393636376838,56.5506608255663,0.909759529665451,
1,1036494.34276666,95.4370608315924,7278.82265047559,2796629.50917412,26.1640020511822,-186.676203219317,6057.99486166622,9.19653573350284,-119.789348814687,38.0145315803388,0.0159176551843868,4187.83768449301,-75.347212718108,-11.8018116247928,55.9894806269147,0.912337476594855,
1,1036498.16276666,94.7159642326199,7278.96739556426,2796015.84827495,26.2262412491529,-190.849125687588,6030.49836748659,8.95063076640561,-119.775221922814,38.0160105839259,-0.00723952331169459,4160.34119031338,23.4244542781207,-11.8721720474545,56.2075967244977,0.911297001113892,
1,1036502.02276666,93.9713061939869,7279.02975846456,2795317.47917929,26.2728528055238,-194.968320604845,6004.26840964747,8.70212129775212,-119.76098321072,38.0182328937806,0.020329033448402,4134.11123247426,45.3502804806531,-11.9401771601249,56.4967392049325,0.914705815645601,
1,1036505.78276667,93.2308424066976,7279.00194885601,2794556.37362529,26.3024582329334,-198.878467856413,5978.04266064094,8.4600235996323,-119.747147171713,38.0170653093774,-0.0160196476498799,4107.88548346773,-69.64013228966,-12.0090113748422,55.9871507415164,0.917088349524382,
1,1036509.68276667,92.4475208655521,7278.86011170272,2793667.03674424,26.3168933979597,-202.824746589718,5949.43802800468,8.20759919760681,-119.732756815447,38.0166363459054,0.0149372877020439,4079.28085083146,33.3195172941223,-12.0851624289953,56.2658634953995,0.918873874374262,
1,1036513.54276667,91.657428073504,7278.59132039057,2792678.17824125,26.3152260631169,-206.54538906704,5923.22244810295,7.96030536416618,-119.718693136224,38.0165694451575,-0.0167177541214019,4053.06527092974,52.8463056709543,-12.1559514886194,56.5981966328304,0.920053912485865,
1,1036517.32276668,90.8700283777705,7278.18062960114,2791585.96843382,26.2991109751866,-210.039406094078,5897.01251696494,7.71685926647615,-119.704880092048,38.0172040860836,0.0209737735273452,4026.85533979173,-60.410165609514,-12.227663035464,56.1458495509392,0.911810507154451,
1,1036521.24276668,90.0398969743336,7277.5799853549,2790310.0765585,26.2753852592941,-213.462225011406,5868.42703050029,7.46438465741214,-119.690586820703,38.0164849046588,-0.00108305817904118,3998.26985332707,31.2069744630139,-12.307000809601,56.4046672883323,0.916312583014139,
1,1036525.08276668,89.2141399059333,7276.78967666244,2788897.85801462,26.2509635956731,-216.581659178382,5842.23098703627,7.21705651767931,-119.676615343974,38.027297350195,-0.0105485918339848,3972.07380986306,56.8401704453568,-12.3808326796337,56.7654261540494,0.920950566115205,
1,1036528.88276669,88.3856835936615,7275.77125417,2787313.75857372,26.2268863051612,-219.407787820467,5816.04276862276,6.97230545386245,-119.662817835525,38.159648748268,0.0133124350174891,3945.88559144954,-64.6811910727142,-12.4556540386971,56.2814010907145,0.911370354525799,
1,1036532.72276669,87.5381537987161,7274.46257678956,2785495.37930956,26.195938518678,-221.956709002899,5787.48389150018,6.7211230667955,-119.648685903034,37.9939262461412,-0.00162261771545873,3917.32671432696,21.5375489278963,-12.5385306307354,56.4776357676396,0.912262618286246,
1,1036536.6227667,86.6680334968017,7272.85724628099,2783434.57430237,26.1561223374882,-224.204518571557,5761.31524470192,6.47253508113189,-119.634726767442,37.8946485390687,-0.0103477200017298,3891.1580675287,51.0735055530463,-12.6156496325733,56.8067967675715,0.916484436386831,
1,1036540.4227667,85.8126332101906,7270.92399683758,2781145.61836764,26.1089500311208,-225.951944674371,5735.15762250151,6.22912639156837,-119.621083135091,38.1538949867071,0.0064145361772027,3865.0004453283,-65.8742456729028,-12.6939803005036,56.3187356180444,0.911353301931343,
1,1036544.2827667,84.9377953789709,7268.51980216819,2778488.53821731,26.0614582969395,-227.243876607809,5709.01255664362,5.98060785169583,-119.607177085107,38.010090597131,0.00269647884272203,3838.8553794704,22.3306400196416,-12.7735211205713,56.5212724780667,0.914354377180052,
1,1036548.18276671,84.049881516234,7265.66571089016,2775485.63645829,26.0239393987802,-227.993440139572,5680.50674616314,5.72957047372861,-119.593153493287,37.9569897998585,0.0030461487440538,3810.34956898993,54.186332905675,-12.8617165339162,56.870894854621,0.915229584636089,
1,1036551.98276671,83.1831747923102,7262.29423053128,2772121.60742771,25.9936193591058,-228.059338297032,5654.39302480775,5.48504063827961,-119.579514897295,38.1696326854248,-0.00535523243709712,3784.23584763454,-61.5079108182508,-12.9439454135853,56.4105098289619,0.910977398436136,
1,1036555.90276671,82.2902928142827,7258.15715055538,2768165.89213506,25.9651312125439,-227.352123985238,5625.92619166527,5.23288390215832,-119.56547192376,37.9745820422648,0.005618880489898,3755.76901449206,29.5131022244336,-13.0352093566825,56.6579655141831,0.912125954510263,
1,1036559.78276672,81.4109633780858,7253.2777854844,2763676.43137182,25.9358843569068,-225.753989348374,5599.85326735562,4.98341820568528,-119.551598721236,38.0863152606565,-0.0109262137394998,3729.69609018241,52.9298094351993,-13.1204567318868,56.9934653201736,0.912582918861362,
1,1036563.56276672,80.5621106472258,7247.63045261432,2758652.27638489,25.9027160131159,-223.204304828259,5573.80416978157,4.74052317486685,-119.538108807409,38.023090388664,0.00157745691916469,3703.64699260836,-66.6578707227932,-13.207226529826,56.498607238657,0.91130070613413,
1,1036567.48276672,79.6941967574647,7240.75475697812,2752705.27193101,25.8601402330899,-219.403751508459,5545.41802949117,4.48881159577782,-119.52414679046,37.9985513680761,0.00786677065651329,3675.26085231795,31.3748716824721,-13.303720847175,56.7618815266452,0.912977039950345,
1,1036571.36276673,78.8522867172752,7232.80275644884,2745995.21440889,25.806791422795,-214.349077409059,5519.42986394802,4.23988522791255,-119.510355839557,37.9678860078013,-0.00496018774691719,3649.2726867748,48.6507566650698,-13.3939514500528,57.067143709651,0.912913597808258,
1,1036575.16276673,78.0493416718729,7223.78199139999,2738543.23761365,25.7413953495622,-208.020480508704,5493.47697883453,3.99633985105104,-119.496877937112,38.0037063555339,0.00433531524161289,3623.31980166132,-62.3934544789554,-13.4859258603362,56.6051165003768,0.912175288281391,
1,1036579.10276673,77.2452142443219,7213.03500171722,2729828.54320976,25.6582858876166,-199.895861720456,5465.21035188893,3.74412749954945,-119.482935014391,38.0110659093402,-0.00596038232405462,3595.05317471572,31.8109958204382,-13.5884202710121,56.8677117521103,0.919273167165776,
1,1036582.88276674,76.5068551959898,7201.30162466151,2720414.76166006,25.5628042834016,-190.45510859374,5439.34637128064,3.501219458499,-119.46951962893,38.0125367203677,-0.00234629387067612,3569.18919410742,-68.050733270175,-13.684381160983,56.3805691453859,0.912548441310947,
1,1036586.76276674,75.7891025579097,7187.74326745989,2709802.34606691,25.4509051763348,-179.18661469375,5413.53282288707,3.25487156107005,-119.455926515915,37.9614223063847,-0.00428931396330672,3543.37564571386,28.9023609915794,-13.7822609991578,56.6289470439421,0.918932754981824,
1,1036590.70276675,75.1086957249474,7172.34355620651,2697846.87636039,25.3227445573092,-165.904173858168,5385.4364469712,3.00388427376399,-119.442089220094,38.0248060113366,-0.00065263864981122,3515.27926979798,33.6127658157629,-13.8913911006303,56.8342285404845,0.918397643734249,
1,1036594.50276675,74.5052953972863,7155.92645310869,2685250.15079136,25.1891775223718,-151.412131150055,5359.74610030044,2.76231711332574,-119.428781807716,38.0141448822319,-0.00013980167297984,3489.58892312722,-33.8439595790387,-13.9935621903699,56.5779094735377,0.9138729850286,
1,1036598.42276675,73.9437486569462,7137.47023845224,2671238.44535722,25.0512371211699,-134.827731324238,5331.79753078788,2.51369387770831,-119.415095740251,38.0095875931611,0.00508256908500583,3461.64035361466,52.1871865194839,-14.1073979537274,56.9568727554238,0.917892614982789,
1,1036602.32276676,73.4524596454259,7117.35468956173,2656127.30003569,24.9160883122681,-117.092526422405,5306.25452795695,2.2669769720719,-119.401496819833,37.9801564766336,-22.3650653381704,3436.09735078374,50.6959969421487,-14.1907706299914,57.2599016681721,0.912083895816448,
1,1036606.26276676,73.0199992736718,7095.82464898132,2640092.65502721,24.7835020664394,-103.481442228419,5278.47141735826,2.01844939381046,-119.387482254327,37.5966934542794,-58.5993642697195,3408.31424018505,65.8848038283718,-14.1780202638603,57.666775572517,0.90928656846734,
1,1036610.12276676,72.6256544848057,7073.56609594665,2623617.8885161,24.6514170516132,-102.039395430294,5253.07254009419,1.77574026816971,-119.373072114856,37.7736543858851,-82.7064768041478,3382.91536292097,46.9065784603163,-14.0810858265148,57.9334651272035,0.910482493674959,
1,1036613.96276677,72.232694613562,7050.18001190625,2606384.36058932,24.5111821673242,-101.711476392387,5227.73908592079,1.53510911509617,-119.357874053912,37.8942935575474,-70.1287486412337,3357.58190874758,12.2144652642655,-13.9643608724958,57.9796487053799,0.914494888446668,
1,1036617.82276677,71.8475140396301,7025.69752561759,2588428.83342337,24.3648929195522,-97.7396540471665,5200.18079677833,1.29408864158017,-119.341716580489,37.9623939029876,-68.5933996332682,3330.02361960511,15.3243255995826,-13.8358346930544,58.074011648873,0.916795909342783,
1,1036621.62276677,71.4840150414836,7000.30859824177,2569909.01953423,24.2163160951848,-93.5961599221151,5174.9941895749,1.05770525832199,-119.324921896576,38.0411278252748,-69.6343883635004,3304.83701240169,13.8767832624931,-13.7055352537074,58.1561295518671,0.917291799054774,
1,1036625.44276678,71.1343940746523,6973.61826187182,2550543.28152919,24.0635384608418,-89.4179245325053,5149.88271539429,0.821017901352147,-119.307106429306,38.0400921727766,-69.7853321576237,3279.72553822108,12.3083306801054,-13.5626949251812,58.2287477669052,0.914090226909273,
1,1036629.26276678,70.8011659752997,6945.8278314385,2530487.34494496,23.9083439735868,-85.0098350749162,5124.8494121399,0.585320274852949,-119.288317213124,37.9745007323013,-69.7598971781013,3254.69223496669,5.13184886852605,-13.4083257571325,58.2539028796413,0.917083342358017,
1,1036633.14276679,70.4803445500098,6916.5964104927,2509506.13702963,23.7494001731894,-80.3319949984901,5097.63275389668,0.346978405773922,-119.268200252933,37.9656621099682,-69.8014012947518,3227.47557672346,6.68987192782242,-13.2272581561343,58.2952467682117,0.916685005331325,
1,1036636.94276679,70.1840680192309,6886.93304575177,2488333.25488058,23.5928304717651,-75.5817754823232,5072.77182712151,0.114627656957176,-119.247456094632,37.9457733715033,-69.8424068947035,3202.6146499483,1.08445750232295,-13.0495294018543,58.2973281860517,0.916801973592314,
1,1036640.76276679,69.9046997513007,6856.01446679188,2466387.9700586,23.4345165247898,-70.6387499666636,5047.99761570717,-0.119043207342102,-119.22541503855,37.9542740953735,-69.8525367693115,3177.84043853396,1.17635705561452,-12.8610287551472,58.3044581249114,0.916479607734654,
1,1036644.5827668,69.6444101242079,6824.47958988754,2444133.16738543,23.2756465945983,-65.5147257582049,5021.07331033841,-0.352747933169215,-119.202138073724,37.9749774782718,-69.8016994130487,3150.91613316519,-1.38619028366065,-12.6434174885896,58.2941179195224,0.915571407253113,
1,1036648.4627668,69.4000567336287,6791.43273274975,2420947.08010372,23.1193568126701,-60.3552808172777,4996.4891887189,-0.58282216097463,-119.177970717115,37.9422941165691,-69.7966338875951,3126.33201154568,1.17453508697599,-12.43349940138,58.3031553311076,0.915765059439607,
1,1036652.2827668,69.1794953007251,6758.10338029264,2397701.46604113,22.9643357190925,-55.1178921419221,4971.99986758457,-0.811656951939127,-119.152656426849,37.9507434814818,-69.7317579480303,3101.84269041136,-8.6484591728381,-12.2141296607792,58.24355018268,0.915480161115793,
1,1036656.06276681,68.9810767296888,6724.47989514955,2374389.57658797,22.8127663224016,-49.862911567031,4947.60770605129,-1.03684131282098,-119.126461248536,37.9669939905483,-69.5930357441065,3077.45052887808,-24.847624353476,-11.9861903264834,58.0816079562691,0.915568295931117,
1,1036659.88276681,68.8009297428932,6689.86477471679,2350534.72130252,22.6615800808778,-44.449821650116,4923.31487698762,-1.2631094704011,-119.098817996722,37.9748731991179,-69.3484582093108,3053.1576998144,-18.8914793624012,-11.7503436749071,57.9729366808686,0.915894316056717,
1,1036663.74276681,68.6400033990247,6654.43289813176,2326267.01495436,22.511560808173,-38.9425827353421,4896.9292890765,-1.49039126300307,-119.069680860659,37.9701493126709,-69.1837668860869,3026.77211190328,-15.526422869531,-11.4851735602504,57.8823934725295,0.915742013581237,
1,1036667.58276682,68.500984346848,6618.76938279813,2301992.89099519,22.3651717612674,-33.4762911270748,4872.85033345671,-1.71511874223306,-119.039488293051,37.9800482203302,-68.9888625832058,3002.6931562835,-16.209507911411,-11.2354792728632,57.7846027648725,0.915193486193892,
1,1036671.40276682,68.3834856294813,6582.99092470676,2277792.82443384,22.2226734989128,-28.0604436833189,4848.87612691461,-1.93729169769819,-119.008257837798,37.9828963585286,-68.7554763070231,2978.71894974139,-12.9289485207887,-10.9804119436298,57.7096054292878,0.915300989514522,
1,1036675.26276682,68.2856522011096,6546.64955257889,2253367.15476729,22.0821617847355,-22.659927084248,4822.84339596538,-2.16037139553419,-118.975492472461,37.9825140974076,-68.5361243282315,2952.68621879216,-11.3099773372919,-10.6970514721371,57.6430038330221,0.915180724922793,
1,1036679.10276683,68.2087824647045,6510.41082407464,2229165.26445541,21.9460539088683,-17.408109822804,4799.0919931267,-2.38086595147074,-118.941698554691,37.9815316720267,-68.2956820584049,2928.93481595349,-10.7780067019844,-10.433519996882,57.5787513948686,0.914779371818292,
1,1036682.92276683,68.152087344585,6474.38030744267,2205254.92243105,21.8144904013161,-12.3122707512329,4775.44839774699,-2.59878867647975,-118.906904838722,37.9803672619108,-68.0221986715465,2905.29122057378,-11.1557357741644,-10.1673753475762,57.5115203343557,0.915159435143605,
1,1036686.74276683,68.1145669977749,6438.46493119475,2181571.72822126,21.6869100721091,-7.37723081908075,4751.91305736508,-2.8152868614618,-118.87095191603,37.9809177806779,-67.7430459659587,2881.75588019187,-10.785860218848,-9.89949497616791,57.4470956512271,0.915257592918507,
1,1036690.60276684,68.0954416287066,6402.37894639447,2157927.07848916,21.5621509469392,-2.58582933427647,4726.36183053015,-3.0326040477105,-118.833461820884,37.9815510290543,-67.4531176562163,2856.20465335694,-9.34401292963366,-9.6062432270294,57.3921521803497,0.915083220313075,
1,1036694.44276684,68.0942906279312,6366.77531143823,2134746.33471737,21.4422757746089,1.93276014187302,4703.05318177495,-3.24735380064649,-118.795027627299,37.9812700677555,-67.1551582050608,2832.89600460174,-8.67705650826792,-9.33730856913301,57.3406109010038,0.928806093568266,
1,1036698.28276685,68.1099125616988,6331.90302416884,2112183.81024738,21.3278137070713,6.13933814041036,4679.85222682134,-3.46067694916428,-118.755480759379,37.668093973295,-66.834876676717,2809.69504964812,-5.41653138144011,-9.07023495481104,57.3106589979682,0.941273181262185,
1,1036702.18276685,68.1415971689289,6297.53149736143,2090082.91404367,21.2178619889264,10.0368633926903,4654.66231497667,-3.67590246968883,-118.714205246941,37.2969595661575,-66.5140534262991,2784.50513780346,-8.65955282481673,-8.78264672611272,57.2561941902149,0.954563154181408,
1,1036706.00276685,68.1866248569284,6264.88386158671,2069216.97003951,21.1160230226534,13.4701991278573,4631.67899110825,-3.88534796629236,-118.672719812332,36.9342031497997,-66.1663202116427,2761.52181393504,-10.6648151901459,-8.52298017656686,57.1906386878525,0.967333276806825,
1,1036709.84276686,68.2443997590523,6233.15253675393,2049054.83025479,21.0194476383492,16.5507098304513,4608.79563632856,-4.09456310260053,-118.629992753751,36.5404253128604,-65.7931881331567,2738.63845915535,-14.8487704765985,-8.2678430256878,57.0982773499284,0.97955803915108,
1,1036713.72276686,68.3140237180609,6202.18439301973,2029489.85415035,20.9270043338807,19.2798775169194,4583.94256445513,-4.30572385203866,-118.585577970633,36.2565586651875,-65.4490422686542,2713.78538728192,-10.7585714760157,-7.99504606250257,57.0368884460698,0.992053005154988,
1,1036717.56276686,68.392496862134,6172.52780424153,2010856.9553742,20.841357796266,21.5308163445191,4561.25912478152,-4.51129421163687,-118.541106645753,35.9739269349231,-65.1507105800194,2691.10194760831,-12.962032752775,-7.74980750440124,56.9573947954323,1.00426458523714,
1,1036721.40276687,68.4788638465302,6143.92260199657,1992980.27917818,20.7600588722315,23.3743739705831,4538.66718653369,-4.71672022060906,-118.49546616792,35.6574546547091,-64.8329031705781,2668.51000936048,-11.7174233404385,-7.5097301102714,56.8880626064922,1.01686358458205,
1,1036725.28276687,68.5724812199892,6115.987952922,1975524.13274024,20.6817791814924,24.8107170323751,4514.12253361619,-4.92414005765322,-118.44818096507,35.3511848666682,-64.5607381923907,2643.96535644297,-10.3616937736042,-7.253429578543,56.82694068836,1.02924551221168,
1,1036729.12276687,68.6697166461116,6089.3281459092,1959119.35737775,20.6090993166432,25.759864874108,4491.71319036118,-5.12615082408136,-118.400982653106,35.0938267740413,-64.3248533816276,2621.55601318797,-10.6910775199017,-7.0237683510056,56.762536892189,1.04057208130398,
1,1036732.96276688,68.769761823453,6063.55705902371,1943251.00047459,20.5393930098734,26.2660386278255,4469.38719661363,-5.32810137647947,-118.352682733291,34.8130704427695,-64.1032716670549,2599.23001944042,-11.9027441154108,-6.79901855613099,56.6901738129697,1.04825922841802,
1,1036736.88276688,68.8729464401314,6038.16237424506,1927685.25888876,20.4713752232575,26.2959957774926,4445.12375298546,-5.53313688219117,-118.302520252898,34.5822994966764,-63.9067495169134,2574.96657581224,0.898438817661827,-6.55988871155871,56.7053612695398,1.05850444760672,
1,1036740.72276689,68.9732092571389,6014.07054103983,1912981.26208879,20.4071236698222,25.8381780267882,4422.96436834021,-5.73291866989605,-118.252567860649,34.308603194365,-63.825894529419,2552.807191167,-9.67810096864696,-6.34541680351212,56.6390297420276,1.06782116776626,
1,1036744.64276689,69.0727892259024,5990.31191481725,1898539.29954296,20.3437641006492,24.8863292338515,4398.87735406638,-5.93580197279884,-118.200768519373,34.0781496618777,-63.6583828328037,2528.72017689316,-0.32149647317874,-6.11688399715477,56.6442614298876,1.07651945455586,
1,1036748.48276689,69.165851576779,5967.75212178882,1884877.84584164,20.2832275285809,23.5097536664084,4376.87494493475,-6.13353405495501,-118.149258826378,33.8315128763475,-63.5505122972357,2506.71776776154,-8.21003798467473,-5.91167202181637,56.5888382789294,1.08471200584502,
1,1036752.3627669,69.2537140303347,5945.67306960479,1871554.54666042,20.2233287308985,21.7141148794842,4354.94445997059,-6.33233686855438,-118.096461871729,33.6094072594964,-63.3514120134984,2484.78728279737,1.4813821925477,-5.71061538305302,56.6052199381941,1.09413352651653,
1,1036756.2427669,69.3338764645504,5924.26118447054,1858676.27431827,20.1642863881243,19.5409430059115,4331.10009141699,-6.53017120315113,-118.042930145321,33.3730022350383,-63.2115752856419,2460.94291424378,-8.90670618923286,-5.49553702695989,56.5437476739669,1.10164364189262,
1,1036760.0827669,69.4042536294162,5903.65021968296,1846317.0926908,20.1062409670146,17.0617284680725,4309.31397988274,-6.72503594259085,-117.989244462411,33.2070511919488,-62.9827063807467,2439.15680270953,-5.39401892163733,-5.30179766603333,56.5141278473623,1.10939830391865,
1,1036764.00276691,69.4656813861653,5883.18535489159,1834079.92733207,20.0471082837889,14.2223621847575,4285.62313037285,-6.92302727949937,-117.933732690343,32.9468506867695,-62.785961519752,2415.46595319964,1.88671876036506,-5.09387833800425,56.5310201530433,1.11692631186852,
1,1036767.84276691,69.51448428794,5863.6494242414,1822428.23365223,19.9889851270149,11.1471256125508,4263.97431895365,-7.11608452465871,-117.878675358,32.7879149071957,-62.6369808557565,2393.81714178044,-7.22942544702983,-4.90585934291388,56.4805216127057,1.12619792458944,
1,1036771.68276691,69.5510060520433,5844.54536657791,1811060.55375627,19.9302492386561,7.83350776721568,4242.38901142634,-7.30827432404291,-117.822959122593,32.5835331747706,-62.4084043623395,2372.23183425313,-5.50429568540312,-4.71980904631236,56.4488435962183,1.13514746688848,
1,1036775.56276692,69.5745465117451,5825.70140481207,1799871.61676659,19.8702352324028,4.25749699175708,4218.91236900997,-7.5016012626841,-117.766005011135,32.3718299042766,-62.2167234898581,2348.75519183676,-3.18314262655213,-4.51895709999911,56.4315394464307,1.14148705403307,
1,1036779.40276692,69.5837932059392,5807.39123335537,1789020.6858886,19.809680406004,0.524336344180938,4197.45589651231,-7.69209386700545,-117.708997200777,32.2256228457927,-62.041680609253,2327.2987193391,-5.43209894864049,-4.33586627760036,56.3971898556138,1.14944078144623,
1,1036783.24276692,69.5783758327011,5789.4072039469,1778381.81243502,19.7478270209924,-3.37673162022043,4176.05953037791,-7.88176037327151,-117.651359801528,31.9749699866839,-61.8538845349122,2305.9023532047,-4.81058556612834,-4.15344709356265,56.3688118995467,1.15817311485558,
1,1036787.12276693,69.557380540275,5771.56404450994,1767843.24726744,19.6839408015179,-7.47237178388991,4152.78544975344,-8.07257538630329,-117.592489799673,31.8408203945925,-61.6879757952957,2282.62827258023,-5.46429127172632,-3.95493466205957,56.3355207093609,1.16319295481926,
1,1036790.96276693,69.5207375764204,5754.09392991408,1757540.37854832,19.6187899036566,-11.6329158639546,4131.5119447082,-8.26061217912919,-117.533606090524,31.69211010718,-61.5190884821121,2261.35476753499,-4.94064726103716,-3.7723227243267,56.3062859226777,1.17305539159093,
1,1036794.84276694,69.4672931477884,5736.65442810971,1747269.73830239,19.5510291790891,-15.935190031013,4110.29634326657,-8.44979375699796,-117.47348557171,31.4449738053594,-61.3751918257535,2240.13916609336,3.7363736242919,-3.58889573278784,56.3354132011842,1.18088533605067,
1,1036798.70276694,69.3973588647209,5719.51903106754,1737190.97935407,19.481672994955,-20.3152754520938,4087.21737218404,-8.63719480232193,-117.413055933502,31.3127182134673,-61.2986837736503,2217.06019501083,-4.21503160273869,-3.38753577415217,56.3039431629515,1.18754087014829,
1,1036802.54276694,69.3109212826546,5702.54603205278,1727220.09096246,19.4102272638787,-24.7104136962159,4066.12118810031,-8.82283010885891,-117.352327362437,31.1729453138765,-61.1552758803268,2195.9640109271,-2.48648833542393,-3.2006590896866,56.2903746573653,1.19719117517738,
1,1036806.40276695,69.2069768971372,5685.57565206855,1717262.59045501,19.3359805515717,-29.1553697390552,4045.08185123089,-9.00863323352135,-117.29066665448,30.9236992412649,-61.06046949088,2174.92467405768,6.52141669672847,-3.0113325542844,56.3365041199993,1.20501065165678,
